Record Time,,,Weekday,Day,Month,Year,Pressure
11:00,PM,PDT,Wednesday,11,March,2020,102.6 kPa
5:00,AM,PDT,Thursday,12,March,2020,102.8 kPa
11:00,AM,PDT,Thursday,12,March,2020,102.8 kPa
5:00,PM,PDT,Thursday,12,March,2020,102.5 kPa
11:00,PM,PDT,Thursday,12,March,2020,102.2 kPa
5:15,AM,PDT,Friday,13,March,2020,101.6 kPa
11:00,AM,PDT,Friday,13,March,2020,101.2 kPa
5:00,PM,PDT,Friday,13,March,2020,100.8 kPa
11:00,PM,PDT,Friday,13,March,2020,100.9 kPa
5:00,AM,PDT,Saturday,14,March,2020,101.2 kPa
11:00,AM,PDT,Saturday,14,March,2020,101.7 kPa
5:00,PM,PDT,Saturday,14,March,2020,102.0 kPa
11:00,PM,PDT,Saturday,14,March,2020,102.4 kPa
5:00,AM,PDT,Sunday,15,March,2020,102.5 kPa
11:00,AM,PDT,Sunday,15,March,2020,102.5 kPa
5:00,PM,PDT,Sunday,15,March,2020,102.2 kPa
11:00,PM,PDT,Sunday,15,March,2020,102.4 kPa
5:00,AM,PDT,Monday,16,March,2020,102.4 kPa
11:00,AM,PDT,Monday,16,March,2020,102.6 kPa
5:00,PM,PDT,Monday,16,March,2020,102.1 kPa
11:05,PM,PDT,Monday,16,March,2020,101.8 kPa
5:00,AM,PDT,Tuesday,17,March,2020,101.4 kPa
11:00,AM,PDT,Tuesday,17,March,2020,101.3 kPa
5:00,PM,PDT,Tuesday,17,March,2020,101.0 kPa
11:03,PM,PDT,Tuesday,17,March,2020,101.0 kPa
5:00,AM,PDT,Wednesday,18,March,2020,101.1 kPa
11:00,AM,PDT,Wednesday,18,March,2020,101.3 kPa
5:00,PM,PDT,Wednesday,18,March,2020,101.2 kPa
11:00,PM,PDT,Wednesday,18,March,2020,101.3 kPa
5:00,AM,PDT,Thursday,19,March,2020,101.5 kPa
11:00,AM,PDT,Thursday,19,March,2020,101.8 kPa
5:00,PM,PDT,Thursday,19,March,2020,101.8 kPa
11:00,PM,PDT,Thursday,19,March,2020,102.1 kPa
5:14,AM,PDT,Friday,20,March,2020,102.4 kPa
11:00,AM,PDT,Friday,20,March,2020,102.7 kPa
5:00,PM,PDT,Friday,20,March,2020,102.5 kPa
11:00,PM,PDT,Friday,20,March,2020,102.5 kPa
5:00,AM,PDT,Saturday,21,March,2020,102.5 kPa
11:00,AM,PDT,Saturday,21,March,2020,102.6 kPa
5:00,PM,PDT,Saturday,21,March,2020,102.3 kPa
11:00,PM,PDT,Saturday,21,March,2020,102.3 kPa
5:00,AM,PDT,Sunday,22,March,2020,102.1 kPa
11:00,AM,PDT,Sunday,22,March,2020,101.9 kPa
5:00,PM,PDT,Sunday,22,March,2020,101.3 kPa
11:00,PM,PDT,Sunday,22,March,2020,100.9 kPa
5:00,AM,PDT,Monday,23,March,2020,100.7 kPa
11:00,AM,PDT,Monday,23,March,2020,100.8 kPa
5:00,PM,PDT,Monday,23,March,2020,100.9 kPa
11:13,PM,PDT,Monday,23,March,2020,101.2 kPa
5:00,AM,PDT,Tuesday,24,March,2020,101.3 kPa
11:00,AM,PDT,Tuesday,24,March,2020,101.5 kPa
5:00,PM,PDT,Tuesday,24,March,2020,101.4 kPa
11:00,PM,PDT,Tuesday,24,March,2020,101.4 kPa
5:00,AM,PDT,Wednesday,25,March,2020,101.5 kPa
11:00,AM,PDT,Wednesday,25,March,2020,101.8 kPa
5:00,PM,PDT,Wednesday,25,March,2020,101.7 kPa
11:00,PM,PDT,Wednesday,25,March,2020,101.7 kPa
5:00,AM,PDT,Thursday,26,March,2020,101.6 kPa
11:00,AM,PDT,Thursday,26,March,2020,101.7 kPa
5:00,PM,PDT,Thursday,26,March,2020,101.6 kPa
